Row,selection0,selection1
276,nb,nb
277,,logreg
278,nb,nb
279,nb,nb
280,nb,nb
281,,logreg
282,,logreg
283,nb,nb
284,nb,nb
285,,logreg
286,nb,nb
287,,logreg
288,tree,tree
289,nb,nb
290,nb,nb
291,nb,nb
292,,logreg
293,nb,nb
294,,logreg
295,nb,nb
296,,logreg
297,nb,nb
298,nb,nb
299,nb,nb
300,nb,nb
301,nb,nb
302,,logreg
303,nb,nb
304,logreg,logreg
305,nb,nb
306,nb,nb
307,nb,nb
308,nb,nb
309,nb,nb
310,,logreg
311,nb,nb
312,nb,nb
313,,logreg
314,nb,nb
315,nb,nb
316,nb,nb
317,nb,nb
318,nb,nb
319,nb,nb
320,nb,nb
321,nb,nb
322,,logreg
323,,logreg
324,nb,nb
325,nb,nb
326,nb,nb
327,,logreg
328,,logreg
329,,logreg
330,nb,nb
331,rf,rf
332,nb,nb
333,nb,nb
334,nb,nb
335,nb,nb
336,,logreg
337,tree,tree
338,,logreg
339,nb,nb
340,nb,nb
341,nb,nb
342,nb,nb
343,nb,nb
344,nb,nb
345,nb,nb
346,,logreg
347,nb,nb
348,nb,nb
349,nb,nb
350,,logreg
351,nb,nb
352,nb,nb
353,nb,nb
354,nb,nb
355,nb,nb
356,nb,nb
357,,logreg
358,nb,nb
359,tree,tree
360,nb,nb
361,nb,nb
362,nb,nb
363,svm_rbf,svm_rbf
364,nb,nb
365,tree,tree
366,nb,nb
367,,logreg
368,nb,nb
369,nb,nb
370,,logreg
371,nb,nb
372,nb,nb
373,nb,nb
374,nb,nb
375,nb,nb
376,nb,nb
377,nb,nb
378,nb,nb
379,nb,nb
380,nb,nb
381,nb,nb
382,nb,nb
383,nb,nb
384,nb,nb
385,nb,nb
386,nb,nb
387,,logreg
388,logreg,logreg
389,nb,nb
390,nb,nb
391,nb,nb
392,nb,nb
393,nb,nb
394,nb,nb
395,nb,nb
396,tree,tree
397,nb,nb
398,,logreg
399,nb,nb
400,nb,nb
401,,logreg
402,nb,nb
403,tree,tree
404,nb,nb
405,nb,nb
406,nb,nb
407,tree,tree
408,nb,nb
409,nb,nb
410,nb,nb
411,nb,nb
412,nb,nb
413,,logreg
414,nb,nb
415,,logreg
416,nb,nb
417,nb,nb
418,logreg,logreg
419,nb,nb
420,,logreg
421,nb,nb
422,nb,nb
423,nb,nb
424,nb,nb
425,nb,nb
426,nb,nb
427,nb,nb
428,nb,nb
429,nb,nb
430,tree,tree
431,nb,nb
432,nb,nb
433,nb,nb
434,nb,nb
435,nb,nb
436,nb,nb
437,,logreg
438,nb,nb
439,nb,nb
440,nb,nb
441,nb,nb
442,nb,nb
443,nb,nb
444,,logreg
445,,logreg
446,nb,nb
447,nb,nb
448,nb,nb
449,,logreg
450,nb,nb
451,nb,nb
452,,logreg
453,nb,nb
454,nb,nb
455,nb,nb
456,nb,nb
457,nb,nb
458,nb,nb
459,nb,nb
460,nb,nb
461,nb,nb
462,nb,nb
463,nb,nb
464,nb,nb
465,nb,nb
466,nb,nb
467,nb,nb
468,nb,nb
469,tree,tree
470,,logreg
471,nb,nb
472,nb,nb
473,nb,nb
474,logreg,logreg
475,nb,nb
476,nb,nb
477,,logreg
478,nb,nb
479,nb,nb
480,nb,nb
481,nb,nb
482,nb,nb
483,nb,nb
484,nb,nb
485,nb,nb
486,tree,tree
487,,logreg
488,,logreg
489,nb,nb
490,,logreg
491,nb,nb
492,nb,nb
493,nb,nb
494,tree,tree
495,nb,nb
496,tree,tree
497,nb,nb
498,nb,nb
499,nb,nb
500,,logreg
501,nb,nb
502,nb,nb
503,,logreg
504,nb,nb
505,nb,nb
506,nb,nb
507,nb,nb
508,nb,nb
509,nb,nb
510,nb,nb
511,,logreg
512,nb,nb
513,nb,nb
514,nb,nb
515,nb,nb
516,,logreg
517,nb,nb
518,tree,tree
519,logreg,logreg
520,nb,nb
521,nb,nb
522,nb,nb
523,nb,nb
524,nb,nb
525,nb,nb
526,nb,nb
527,nb,nb
528,nb,nb
529,nb,nb
530,nb,nb
531,nb,nb
532,nb,nb
533,nb,nb
534,nb,nb
535,nb,nb
536,,logreg
537,nb,nb
538,nb,nb
539,nb,nb
540,nb,nb
541,nb,nb
542,,logreg
543,nb,nb
544,nb,nb
545,nb,nb
546,nb,nb
547,nb,nb
548,nb,nb
549,,logreg
550,tree,tree
551,nb,nb
552,nb,nb
553,nb,nb
554,nb,nb
555,nb,nb
556,nb,nb
557,nb,nb
558,nb,nb
559,tree,tree
560,nb,nb
561,tree,tree
562,nb,nb
563,nb,nb
564,nb,nb
565,nb,nb
566,nb,nb
567,nb,nb
568,nb,nb
569,nb,nb
570,,logreg
571,nb,nb
572,nb,nb
573,nb,nb
574,nb,nb
575,tree,tree
576,nb,nb
577,nb,nb
578,,logreg
579,nb,nb
580,nb,nb
581,,logreg
582,nb,nb
583,,logreg
584,nb,nb
585,nb,nb
586,nb,nb
587,rf,rf
588,nb,nb
589,nb,nb
590,nb,nb
591,nb,nb
592,nb,nb
593,,logreg
594,nb,nb
595,,logreg
596,nb,nb
597,nb,nb
598,nb,nb
599,nb,nb
600,nb,nb
601,nb,nb
602,nb,nb
603,nb,nb
604,nb,nb
605,nb,nb
606,nb,nb
607,nb,nb
608,nb,nb
609,,logreg
610,nb,nb
611,nb,nb
612,nb,nb
613,nb,nb
614,nb,nb
615,nb,nb
616,nb,nb
617,nb,nb
618,nb,nb
619,nb,nb
620,tree,tree
621,nb,nb
622,nb,nb
623,tree,tree
624,nb,nb
625,nb,nb
626,nb,nb
627,nb,nb
628,nb,nb
629,nb,nb
630,nb,nb
631,,logreg
632,nb,nb
633,nb,nb
634,nb,nb
635,nb,nb
636,tree,tree
637,nb,nb
638,nb,nb
639,,logreg
640,nb,nb
641,nb,nb
642,nb,nb
643,,logreg
644,nb,nb
645,nb,nb
646,,logreg
647,,logreg
648,nb,nb
649,nb,nb
650,nb,nb
651,nb,nb
652,nb,nb
653,nb,nb
654,nb,nb
655,nb,nb
656,nb,nb
657,nb,nb
658,,logreg
659,,logreg
660,,logreg
661,,logreg
662,nb,nb
663,nb,nb
664,nb,nb
665,tree,tree
666,nb,nb
667,tree,tree
668,,logreg
669,nb,nb
670,,logreg
671,,logreg
672,nb,nb
673,nb,nb
674,logreg,logreg
675,nb,nb
676,nb,nb
677,nb,nb
678,nb,nb
679,,logreg
680,nb,nb
681,nb,nb
682,nb,nb
683,nb,nb
684,,logreg
685,nb,nb
686,nb,nb
687,nb,nb
688,nb,nb
689,nb,nb
690,nb,nb
691,nb,nb
692,nb,nb
693,nb,nb
694,nb,nb
695,nb,nb
696,nb,nb
697,tree,tree
698,nb,nb
699,nb,nb
700,nb,nb
701,nb,nb
702,tree,tree
703,nb,nb
704,,logreg
705,nb,nb
706,nb,nb
707,,logreg
708,nb,nb
709,nb,nb
710,,logreg
711,,logreg
712,nb,nb
713,nb,nb
714,nb,nb
715,nb,nb
716,nb,nb
717,nb,nb
718,nb,nb
719,nb,nb
720,,logreg
721,nb,nb
722,nb,nb
723,,logreg
724,nb,nb
725,nb,nb
726,nb,nb
727,nb,nb
728,nb,nb
729,nb,nb
730,nb,nb
731,,logreg
732,,logreg
733,nb,nb
734,nb,nb
735,nb,nb
736,nb,nb
737,nb,nb
738,nb,nb
739,nb,nb
740,tree,tree
741,nb,nb
742,nb,nb
743,nb,nb
744,nb,nb
745,,logreg
746,tree,tree
747,nb,nb
748,nb,nb
749,nb,nb
750,tree,tree
751,,logreg
752,nb,nb
753,nb,nb
754,nb,nb
755,nb,nb
756,nb,nb
757,nb,nb
758,tree,tree
759,nb,nb
760,nb,nb
761,nb,nb
762,nb,nb
763,nb,nb
764,,logreg
765,nb,nb
766,nb,nb
767,tree,tree
768,nb,nb
