Row,selection0,selection1
556,logreg,logreg
557,logreg,logreg
558,rf,rf
559,rf,rf
560,logreg,logreg
561,svm_rbf,svm_rbf
562,logreg,logreg
563,logreg,logreg
564,logreg,logreg
565,logreg,logreg
566,svm_rbf,svm_rbf
567,logreg,logreg
568,logreg,logreg
569,logreg,logreg
570,logreg,logreg
571,logreg,logreg
572,logreg,logreg
573,logreg,logreg
574,rf,rf
575,logreg,logreg
576,rf,rf
577,logreg,logreg
578,logreg,logreg
579,logreg,logreg
580,logreg,logreg
581,logreg,logreg
582,logreg,logreg
583,rf,rf
584,svm_rbf,svm_rbf
585,logreg,logreg
586,rf,rf
587,svm_rbf,svm_rbf
588,rf,rf
589,logreg,logreg
590,logreg,logreg
591,logreg,logreg
592,logreg,logreg
593,logreg,logreg
594,logreg,logreg
595,svm_rbf,svm_rbf
596,logreg,logreg
597,logreg,logreg
598,logreg,logreg
599,logreg,logreg
600,logreg,logreg
601,rf,rf
602,logreg,logreg
603,logreg,logreg
604,logreg,logreg
605,logreg,logreg
606,logreg,logreg
607,svm_rbf,svm_rbf
608,logreg,logreg
609,logreg,logreg
610,svm_rbf,svm_rbf
611,logreg,logreg
612,logreg,logreg
613,logreg,logreg
614,logreg,logreg
615,logreg,logreg
616,rf,rf
617,logreg,logreg
618,logreg,logreg
619,logreg,logreg
620,svm_rbf,svm_rbf
621,logreg,logreg
622,rf,rf
623,logreg,logreg
624,logreg,logreg
625,rf,rf
626,rf,rf
627,logreg,logreg
628,rf,rf
629,logreg,logreg
630,logreg,logreg
631,rf,rf
632,logreg,logreg
633,logreg,logreg
634,rf,rf
635,rf,rf
636,logreg,logreg
637,rf,rf
638,logreg,logreg
639,logreg,logreg
640,logreg,logreg
641,logreg,logreg
642,logreg,logreg
643,logreg,logreg
644,rf,rf
645,logreg,logreg
646,logreg,logreg
647,rf,rf
648,logreg,logreg
649,logreg,logreg
650,logreg,logreg
651,logreg,logreg
652,logreg,logreg
653,logreg,logreg
654,logreg,logreg
655,logreg,logreg
656,logreg,logreg
657,logreg,logreg
658,logreg,logreg
659,logreg,logreg
660,logreg,logreg
661,logreg,logreg
662,logreg,logreg
663,logreg,logreg
664,rf,rf
665,logreg,logreg
666,logreg,logreg
667,logreg,logreg
668,logreg,logreg
669,rf,rf
670,logreg,logreg
671,rf,rf
672,logreg,logreg
673,logreg,logreg
674,logreg,logreg
675,logreg,logreg
676,logreg,logreg
677,rf,rf
678,logreg,logreg
679,logreg,logreg
680,logreg,logreg
681,logreg,logreg
682,logreg,logreg
683,logreg,logreg
684,rf,rf
685,rf,rf
686,logreg,logreg
687,logreg,logreg
688,logreg,logreg
689,logreg,logreg
690,svm_rbf,svm_rbf
691,rf,rf
692,rf,rf
693,rf,rf
694,logreg,logreg
695,logreg,logreg
696,logreg,logreg
697,logreg,logreg
698,logreg,logreg
699,logreg,logreg
700,logreg,logreg
701,logreg,logreg
702,logreg,logreg
703,logreg,logreg
704,logreg,logreg
705,logreg,logreg
706,logreg,logreg
707,svm_rbf,svm_rbf
708,logreg,logreg
709,logreg,logreg
710,logreg,logreg
711,logreg,logreg
712,logreg,logreg
713,logreg,logreg
714,rf,rf
715,rf,rf
716,logreg,logreg
717,logreg,logreg
718,logreg,logreg
719,logreg,logreg
720,logreg,logreg
721,logreg,logreg
722,svm_rbf,svm_rbf
723,rf,rf
724,logreg,logreg
725,logreg,logreg
726,logreg,logreg
727,svm_rbf,svm_rbf
728,logreg,logreg
729,logreg,logreg
730,logreg,logreg
731,logreg,logreg
732,svm_rbf,svm_rbf
733,svm_rbf,svm_rbf
734,rf,rf
735,rf,rf
736,svm_rbf,svm_rbf
737,logreg,logreg
738,logreg,logreg
739,rf,rf
740,svm_rbf,svm_rbf
741,logreg,logreg
742,logreg,logreg
743,svm_rbf,svm_rbf
744,logreg,logreg
745,logreg,logreg
746,svm_rbf,svm_rbf
747,logreg,logreg
748,svm_rbf,svm_rbf
749,rf,rf
750,logreg,logreg
751,logreg,logreg
752,logreg,logreg
753,logreg,logreg
754,svm_rbf,svm_rbf
755,logreg,logreg
756,logreg,logreg
757,logreg,logreg
758,logreg,logreg
759,logreg,logreg
760,logreg,logreg
761,svm_rbf,svm_rbf
762,logreg,logreg
763,logreg,logreg
764,logreg,logreg
765,logreg,logreg
766,logreg,logreg
767,rf,rf
768,rf,rf
769,rf,rf
770,logreg,logreg
771,logreg,logreg
772,logreg,logreg
773,logreg,logreg
774,logreg,logreg
775,rf,rf
776,logreg,logreg
777,svm_rbf,svm_rbf
778,logreg,logreg
779,logreg,logreg
780,logreg,logreg
781,svm_rbf,svm_rbf
782,logreg,logreg
783,logreg,logreg
784,logreg,logreg
785,logreg,logreg
786,logreg,logreg
787,logreg,logreg
788,logreg,logreg
789,logreg,logreg
790,logreg,logreg
791,logreg,logreg
792,logreg,logreg
793,logreg,logreg
794,logreg,logreg
795,logreg,logreg
796,logreg,logreg
797,rf,rf
798,logreg,logreg
799,logreg,logreg
800,logreg,logreg
801,logreg,logreg
802,logreg,logreg
803,rf,rf
804,logreg,logreg
805,svm_rbf,svm_rbf
806,svm_rbf,svm_rbf
807,logreg,logreg
808,logreg,logreg
809,svm_rbf,svm_rbf
810,logreg,logreg
811,logreg,logreg
812,logreg,logreg
813,logreg,logreg
814,rf,rf
815,logreg,logreg
816,svm_rbf,svm_rbf
817,svm_rbf,svm_rbf
818,svm_rbf,svm_rbf
819,logreg,logreg
820,svm_rbf,svm_rbf
821,logreg,logreg
822,logreg,logreg
823,logreg,logreg
824,logreg,logreg
825,logreg,logreg
826,logreg,logreg
827,svm_rbf,svm_rbf
828,logreg,logreg
829,rf,rf
830,logreg,logreg
831,svm_rbf,svm_rbf
832,logreg,logreg
833,logreg,logreg
834,logreg,logreg
835,logreg,logreg
836,rf,rf
837,logreg,logreg
838,logreg,logreg
839,logreg,logreg
840,logreg,logreg
841,logreg,logreg
842,logreg,logreg
843,rf,rf
844,rf,rf
845,logreg,logreg
846,logreg,logreg
847,svm_rbf,svm_rbf
848,rf,rf
849,rf,rf
850,logreg,logreg
851,logreg,logreg
852,logreg,logreg
853,logreg,logreg
854,logreg,logreg
855,logreg,logreg
856,logreg,logreg
857,logreg,logreg
858,logreg,logreg
859,logreg,logreg
860,logreg,logreg
861,logreg,logreg
862,logreg,logreg
863,logreg,logreg
864,logreg,logreg
865,svm_rbf,svm_rbf
866,logreg,logreg
867,logreg,logreg
868,logreg,logreg
869,logreg,logreg
870,rf,rf
871,logreg,logreg
872,,logreg
873,rf,rf
874,logreg,logreg
875,svm_rbf,svm_rbf
876,rf,rf
877,svm_rbf,svm_rbf
878,logreg,logreg
879,logreg,logreg
880,logreg,logreg
881,logreg,logreg
882,logreg,logreg
883,rf,rf
884,logreg,logreg
885,svm_rbf,svm_rbf
886,svm_rbf,svm_rbf
887,logreg,logreg
888,logreg,logreg
889,logreg,logreg
890,logreg,logreg
891,svm_rbf,svm_rbf
892,svm_rbf,svm_rbf
893,logreg,logreg
894,logreg,logreg
895,rf,rf
896,logreg,logreg
897,logreg,logreg
898,logreg,logreg
899,logreg,logreg
900,logreg,logreg
901,logreg,logreg
902,logreg,logreg
903,svm_rbf,svm_rbf
904,logreg,logreg
905,logreg,logreg
906,rf,rf
907,svm_rbf,svm_rbf
908,logreg,logreg
909,logreg,logreg
910,svm_rbf,svm_rbf
911,logreg,logreg
912,logreg,logreg
913,logreg,logreg
914,logreg,logreg
915,svm_rbf,svm_rbf
916,svm_rbf,svm_rbf
917,logreg,logreg
918,svm_rbf,svm_rbf
919,rf,rf
920,logreg,logreg
921,logreg,logreg
922,logreg,logreg
923,rf,rf
924,rf,rf
925,logreg,logreg
926,svm_rbf,svm_rbf
927,logreg,logreg
928,logreg,logreg
929,logreg,logreg
930,logreg,logreg
931,logreg,logreg
932,rf,rf
933,logreg,logreg
934,logreg,logreg
935,svm_rbf,svm_rbf
936,logreg,logreg
937,svm_rbf,svm_rbf
938,logreg,logreg
939,logreg,logreg
940,rf,rf
941,rf,rf
942,logreg,logreg
943,rf,rf
944,svm_rbf,svm_rbf
945,logreg,logreg
946,logreg,logreg
947,logreg,logreg
948,svm_rbf,svm_rbf
949,logreg,logreg
950,logreg,logreg
951,logreg,logreg
952,svm_rbf,svm_rbf
953,logreg,logreg
954,logreg,logreg
955,rf,rf
956,rf,rf
957,logreg,logreg
958,svm_rbf,svm_rbf
959,logreg,logreg
960,svm_rbf,svm_rbf
961,logreg,logreg
962,logreg,logreg
963,logreg,logreg
964,logreg,logreg
965,logreg,logreg
966,rf,rf
967,logreg,logreg
968,logreg,logreg
969,logreg,logreg
970,logreg,logreg
971,svm_rbf,svm_rbf
972,logreg,logreg
973,logreg,logreg
974,logreg,logreg
975,logreg,logreg
976,logreg,logreg
977,svm_rbf,svm_rbf
978,logreg,logreg
979,svm_rbf,svm_rbf
980,rf,rf
981,logreg,logreg
982,logreg,logreg
983,logreg,logreg
984,logreg,logreg
985,logreg,logreg
986,logreg,logreg
987,logreg,logreg
988,rf,rf
989,logreg,logreg
990,logreg,logreg
991,logreg,logreg
992,logreg,logreg
993,logreg,logreg
994,logreg,logreg
995,rf,rf
996,logreg,logreg
997,logreg,logreg
998,logreg,logreg
999,logreg,logreg
1000,logreg,logreg
1001,rf,rf
1002,logreg,logreg
1003,logreg,logreg
1004,logreg,logreg
1005,rf,rf
1006,logreg,logreg
1007,logreg,logreg
1008,rf,rf
1009,svm_rbf,svm_rbf
1010,logreg,logreg
1011,rf,rf
1012,rf,rf
1013,logreg,logreg
1014,logreg,logreg
1015,logreg,logreg
1016,logreg,logreg
1017,logreg,logreg
1018,logreg,logreg
1019,logreg,logreg
1020,logreg,logreg
1021,logreg,logreg
1022,logreg,logreg
1023,svm_rbf,svm_rbf
1024,svm_rbf,svm_rbf
1025,logreg,logreg
1026,logreg,logreg
1027,logreg,logreg
1028,logreg,logreg
1029,svm_rbf,svm_rbf
1030,logreg,logreg
1031,logreg,logreg
1032,svm_rbf,svm_rbf
1033,rf,rf
1034,rf,rf
1035,rf,rf
1036,logreg,logreg
1037,svm_rbf,svm_rbf
1038,rf,rf
1039,logreg,logreg
1040,svm_rbf,svm_rbf
1041,logreg,logreg
1042,logreg,logreg
1043,svm_rbf,svm_rbf
1044,logreg,logreg
1045,rf,rf
1046,logreg,logreg
1047,logreg,logreg
1048,rf,rf
1049,logreg,logreg
1050,logreg,logreg
1051,rf,rf
1052,logreg,logreg
1053,svm_rbf,svm_rbf
1054,logreg,logreg
1055,logreg,logreg
1056,logreg,logreg
1057,logreg,logreg
1058,logreg,logreg
1059,logreg,logreg
1060,logreg,logreg
1061,rf,rf
1062,logreg,logreg
1063,logreg,logreg
1064,rf,rf
1065,rf,rf
1066,rf,rf
1067,rf,rf
1068,logreg,logreg
1069,logreg,logreg
1070,logreg,logreg
1071,svm_rbf,svm_rbf
1072,rf,rf
1073,,logreg
1074,logreg,logreg
1075,rf,rf
1076,logreg,logreg
1077,logreg,logreg
1078,logreg,logreg
1079,logreg,logreg
1080,logreg,logreg
1081,logreg,logreg
1082,logreg,logreg
1083,logreg,logreg
1084,logreg,logreg
1085,rf,rf
1086,svm_rbf,svm_rbf
1087,logreg,logreg
1088,logreg,logreg
1089,logreg,logreg
1090,logreg,logreg
1091,logreg,logreg
1092,,logreg
1093,logreg,logreg
1094,logreg,logreg
1095,rf,rf
1096,logreg,logreg
1097,logreg,logreg
1098,logreg,logreg
1099,logreg,logreg
1100,logreg,logreg
1101,logreg,logreg
1102,rf,rf
1103,logreg,logreg
1104,logreg,logreg
1105,rf,rf
1106,logreg,logreg
1107,svm_rbf,svm_rbf
1108,logreg,logreg
1109,logreg,logreg
1110,logreg,logreg
1111,logreg,logreg
1112,logreg,logreg
1113,logreg,logreg
1114,logreg,logreg
1115,logreg,logreg
1116,logreg,logreg
1117,logreg,logreg
1118,logreg,logreg
1119,logreg,logreg
1120,logreg,logreg
1121,logreg,logreg
1122,logreg,logreg
1123,logreg,logreg
1124,logreg,logreg
1125,logreg,logreg
1126,svm_rbf,svm_rbf
1127,logreg,logreg
1128,logreg,logreg
1129,logreg,logreg
1130,logreg,logreg
1131,logreg,logreg
1132,rf,rf
1133,logreg,logreg
1134,logreg,logreg
1135,logreg,logreg
1136,svm_rbf,svm_rbf
1137,logreg,logreg
1138,svm_rbf,svm_rbf
1139,logreg,logreg
1140,svm_rbf,svm_rbf
1141,rf,rf
1142,logreg,logreg
1143,logreg,logreg
1144,logreg,logreg
1145,logreg,logreg
1146,logreg,logreg
1147,logreg,logreg
1148,logreg,logreg
1149,rf,rf
1150,rf,rf
1151,rf,rf
1152,logreg,logreg
1153,rf,rf
1154,logreg,logreg
1155,logreg,logreg
1156,svm_rbf,svm_rbf
1157,logreg,logreg
1158,logreg,logreg
1159,svm_rbf,svm_rbf
1160,logreg,logreg
1161,logreg,logreg
1162,logreg,logreg
1163,logreg,logreg
1164,rf,rf
1165,logreg,logreg
1166,logreg,logreg
1167,logreg,logreg
1168,logreg,logreg
1169,svm_rbf,svm_rbf
1170,logreg,logreg
1171,svm_rbf,svm_rbf
1172,logreg,logreg
1173,logreg,logreg
1174,svm_rbf,svm_rbf
1175,logreg,logreg
1176,logreg,logreg
1177,logreg,logreg
1178,logreg,logreg
1179,rf,rf
1180,logreg,logreg
1181,svm_rbf,svm_rbf
1182,logreg,logreg
1183,logreg,logreg
1184,logreg,logreg
1185,logreg,logreg
1186,logreg,logreg
1187,rf,rf
1188,logreg,logreg
1189,logreg,logreg
1190,rf,rf
1191,logreg,logreg
1192,rf,rf
1193,logreg,logreg
1194,logreg,logreg
1195,logreg,logreg
1196,svm_rbf,svm_rbf
1197,rf,rf
1198,rf,rf
1199,logreg,logreg
1200,svm_rbf,svm_rbf
1201,rf,rf
1202,svm_rbf,svm_rbf
1203,logreg,logreg
1204,logreg,logreg
1205,logreg,logreg
1206,logreg,logreg
1207,logreg,logreg
1208,svm_rbf,svm_rbf
1209,logreg,logreg
1210,logreg,logreg
1211,svm_rbf,svm_rbf
1212,logreg,logreg
