instances,row_original,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_N2,feature_LSC,feature_LSR,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4,algo_knn,algo_tree,algo_nb,algo_logreg,algo_svm_rbf,algo_rf
29,28,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0408953938872149,0.0,0.0,0.02,0.5,0.3,0.4328583491374189,0.5714285714285715,1.0,1.0,1.0,0.9681971590001868,0.9741943756581628,1.0
30,29,0.0,0.0,0.25,0.2,0.0660819301995656,0.0503731429357551,0.0479148181011535,0.0,0.0,0.02,0.25,0.3,0.4093460087064092,0.5559038662486938,1.0,1.0,0.999999999999996,0.9728570076113656,0.9691190868846796,1.0
31,30,0.0,0.0,0.25,0.2,0.0660819301995656,0.0503731429357551,0.0687325256290771,0.0,0.0,0.02,0.25,0.3,0.4255905203161413,0.5941855834328952,1.0,1.0,1.0,0.9486612018997496,0.965624289314909,1.0
32,31,0.0,0.0,0.25,0.2,0.0660819301995701,0.0503731429357595,0.1054191363251481,0.0,0.0,0.04,0.5,0.3571428571428571,0.465406618304639,0.6315789473684209,1.0,1.0,0.9999999999998148,0.9425195196226472,0.9653948898394796,1.0
33,32,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.1185410334346506,0.0,0.0,0.04,0.25,0.2780748663101604,0.3955056035300981,0.5714285714285715,1.0,1.0,1.0,0.9971008425412748,0.9631503155110948,1.0
34,33,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.1158989598811294,0.0,0.0,0.04,0.25,0.3,0.394320003321445,0.5714285714285714,1.0,1.0,1.0,0.996531472884752,0.9257107067020708,0.97
35,34,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0,0.0,0.0,0.02,0.5,0.2780748663101604,0.4242792676005713,0.5941855834328952,1.0,1.0,1.0,0.9482626856123187,0.9669503445570956,1.0
36,35,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0702868403766148,0.0,0.0,0.02,0.5,0.3,0.4200845080361173,0.5559038662486938,1.0,1.0,0.9999999999999998,0.96589859713858,0.9704226880788948,1.0
37,36,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0943003219087293,0.0,0.0,0.04,0.375,0.3,0.4232295482295482,0.5714285714285714,1.0,1.0,1.0,0.9659315660665828,0.9628669567307784,0.94
38,37,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0,0.0,0.0,0.02,0.5,0.2780748663101604,0.4242792676005713,0.5941855834328952,1.0,1.0,1.0,0.9542055527667928,0.9721757702250412,1.0
39,38,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0523439142316586,0.02,0.0004434589800442,0.02,0.25,0.3,0.3989484645936259,0.6159139784946236,1.0,1.0,1.0,0.9714492387279674,0.9592639498402966,1.0
40,39,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0269160583941605,0.0,0.0,0.02,0.5,0.3,0.423660949785515,0.5217391304347823,1.0,1.0,1.0,0.9731035829601544,0.9721844730212832,1.0
41,40,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0402713013988976,0.0,0.0,0.02,0.375,0.3259259259259259,0.4068538868538868,0.4799999999999998,1.0,1.0,1.0,0.9837272956004844,0.9766452247233484,1.0
42,41,0.0,0.0,0.25,0.2,0.0660819301995658,0.0503731429357552,0.304171988080034,0.36,0.4006233956729007,0.02,0.25,0.3259259259259259,0.3671957671957672,0.4444444444444444,0.6,1.0,1.0,0.6214360425603421,0.5434193804523553,0.98
43,42,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0595744680851061,0.0,0.0,0.02,0.25,0.3,0.3839459365321434,0.5559038662486938,1.0,1.0,1.0,0.9868428943855082,0.966534728521456,1.0
44,43,0.0,0.0,0.25,0.2,0.0660819302120306,0.0503731429482686,0.1231447124304268,0.0,0.0,0.04,0.375,0.3943833943833945,0.4461904761904761,0.4799999999999998,1.0,1.0,0.9999999999954224,0.9718319954932504,0.9611874087023085,1.0
45,44,0.0,0.0,0.25,0.2,0.0660819301997283,0.0503731429359183,0.0969355847404627,0.0,0.0,0.04,0.375,0.3571428571428571,0.431102610715548,0.5217391304347823,1.0,1.0,0.9999999999999768,0.990212182797398,0.9543680066939824,1.0
46,45,0.0,0.0,0.25,0.2,0.0660819301995656,0.0503731429357551,0.0722684958353749,0.02,0.0005278437582475,0.02,0.25,0.3259259259259259,0.4307863351243592,0.6159139784946236,1.0,1.0,0.999999999999982,0.9397014228704178,0.957677767822896,1.0
47,46,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.04834012813046,0.0,0.0,0.04,0.375,0.3,0.4043016339145713,0.5217391304347823,1.0,1.0,1.0,0.9914906946848648,0.9649630755926304,1.0
48,47,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0400505902192244,0.0,0.0,0.02,0.25,0.3,0.3967631406284172,0.5559038662486938,1.0,1.0,1.0,0.9800582621532844,0.973489364558242,1.0
49,48,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0229081731702583,0.0,0.0,0.04,0.375,0.3,0.4331458627880695,0.6315789473684209,1.0,1.0,1.0,0.9873971327422708,0.96375434235747,1.0
50,49,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0549911660777384,0.0,0.0,0.02,0.5,0.3,0.4174464395319608,0.522273425499232,1.0,1.0,1.0,0.9700349851440658,0.9750977339746992,1.0
51,50,0.0612244897959183,0.0,1.0,0.8,0.1169187926543064,0.1117225405974587,0.2619047619047618,0.72,0.7133421400264199,0.9,0.625,0.3398692810457516,0.3983663554630979,0.5028735632183907,1.0,1.0,0.802474883944362,0.8485181924155859,0.917691227673906,0.94
52,51,0.0612244897959183,0.0,1.0,0.8,0.0565034299618236,0.0514851745630049,0.3287086446104589,0.7,0.7662144582791302,0.8200000000000001,0.625,0.3386243386243386,0.4144331618723099,0.5028735632183907,1.0,1.0,0.9265102463291356,0.8015391568885537,0.958863387202785,0.99
53,52,0.0612244897959183,0.0,1.0,0.8,0.5647983943464729,0.5591285325015596,0.21889400921659,0.8,0.7770470240052615,0.88,0.625,0.3519571763131481,0.4167770599552547,0.5382716049382715,1.0,1.0,0.3797246834212953,0.7071926523442905,0.7692638639770119,0.8
54,53,0.0612244897959183,0.0,1.0,0.8,0.0434401219661414,0.0384652670607096,0.1612756264236904,0.54,0.5491060494734266,0.54,0.5,0.2812219227313566,0.4093966727152076,0.5602240896358542,1.0,1.0,0.9999931319068324,0.914881691701794,0.9614191543669884,1.0
55,54,0.0612244897959183,0.0,1.0,0.8,0.0545190966759266,0.0495073152686725,0.5212851405622488,0.98,0.8774419082870656,0.62,0.625,0.3628205128205127,0.4533414051384098,0.6521739130434782,0.6,1.0,0.972668328386801,0.7254493972802074,0.7458839318349031,0.95
56,55,0.0612244897959183,0.0,1.0,0.8,0.0436120835394884,0.0386366452731873,0.1616161616161617,0.4399999999999999,0.5722874320068712,0.52,0.625,0.3386243386243386,0.4668237326794218,0.6521739130434782,1.0,1.0,0.998178966856616,0.8331548075039082,0.9533743947214376,0.99
57,56,0.0612244897959183,0.0,1.0,0.8,0.2475112905917371,0.2420384495013655,0.3274853801169591,0.88,0.7804200659607707,0.9,0.625,0.3951670220326937,0.4398352929463978,0.471853257432005,0.6,1.0,0.5582336281030578,0.6551399376858045,0.864046615104762,0.85
58,57,0.0612244897959183,0.0,1.0,0.8,0.0434338571030817,0.0384590234566324,0.1145631067961164,0.7,0.596388741370154,0.84,0.5,0.2832722832722832,0.3924578557643073,0.4865591397849462,1.0,1.0,0.9999998507350284,0.8576095390928191,0.9337081484132882,0.83
59,58,0.0612244897959183,0.0,1.0,0.8,0.0454466443553897,0.0404650026908303,0.2663523865645253,0.72,0.7408409658617818,0.5800000000000001,0.5,0.3386243386243386,0.4305145192784221,0.6265328874024526,1.0,1.0,0.991229289282922,0.8508325243374457,0.9765653654191464,1.0
60,59,0.0612244897959183,0.0,1.0,0.8,0.0434520435296594,0.03847714817117,0.3410883280757095,0.62,0.5389072847682117,0.56,0.625,0.2771241830065359,0.4412584250974344,0.601025641025641,1.0,1.0,0.9997265804091636,0.8333878831081531,0.938915537816567,0.94
61,60,0.0612244897959183,0.0,1.0,0.8,0.0434338574790155,0.0384590238312905,0.185592521308771,0.6599999999999999,0.5140278917145202,0.86,0.25,0.2758057935536515,0.3722259334661766,0.4695081967213113,1.0,1.0,0.9999998657164292,0.952826307303197,0.8566514440088264,0.95
62,61,0.0612244897959183,0.0,1.0,0.8,0.0442020742384827,0.0392246369554584,0.3209798994974874,0.78,0.7438995498696993,0.54,0.5,0.2953216374269006,0.4486814978565707,0.579047619047619,1.0,1.0,0.9937840712644508,0.8008452195269126,0.9555062020326096,0.99
63,62,0.0612244897959183,0.0,1.0,0.8,0.0434350251502602,0.038460187540165,0.419529837251356,0.78,0.6179481075934301,0.76,0.25,0.2812219227313566,0.3969133231196388,0.5191297824456114,1.0,1.0,0.99999894659399,0.9700782113389828,0.972531248449522,1.0
64,63,0.0612244897959183,0.0,1.0,0.8,0.0463616319279343,0.0413769100652944,0.2209405501330971,0.84,0.8032713421465382,0.4599999999999999,0.625,0.3555555555555555,0.4675461894799987,0.6265328874024526,0.8,1.0,0.9758665615026868,0.7786039712805708,0.9258868398463068,0.99
65,64,0.0612244897959183,0.0,1.0,0.8,0.0434387814179084,0.0384639310614133,0.185877466251298,0.36,0.2629269821372612,0.52,0.5,0.2740740740740741,0.4464537877581356,0.6265328874024526,1.0,1.0,0.9999907586214531,0.8638682430411452,0.972174167004487,1.0
66,65,0.0612244897959183,0.0,1.0,0.8,0.047712866544691,0.0427236126024536,0.1490651844365843,0.6599999999999999,0.6828027877189677,0.8200000000000001,0.5,0.3202185792349727,0.3982482770374631,0.5382716049382715,1.0,1.0,0.9630607830398522,0.869813361447999,0.9561111379030086,1.0
67,66,0.0612244897959183,0.0,1.0,0.8,0.0453673989988389,0.0403860245345689,0.162199312714776,0.74,0.7014450159196668,0.5800000000000001,0.75,0.3386243386243386,0.4630336491206057,0.579047619047619,1.0,1.0,0.9916448020748928,0.7067178005835457,0.9057031697378654,1.0
68,67,0.0612244897959183,0.0,1.0,0.8,0.0434371098280008,0.0384622651438069,0.1771611526147277,0.28,0.335344827586207,0.54,0.5,0.2871794871794871,0.4442735042735042,0.601025641025641,1.0,1.0,0.99995582318818,0.9391874616043118,0.9830522952112608,1.0
69,68,0.0612244897959183,0.0,1.0,0.8,0.0445217949147881,0.0395432759408144,0.5474563401670458,0.98,0.8361286774814407,0.9,0.5,0.3386243386243386,0.4068875175258153,0.4693009118541032,0.6,1.0,0.994775899304384,0.5818973781695739,0.6011738121994392,0.91
70,69,0.0612244897959183,0.0,1.0,0.8,0.0434352225483973,0.0384603842684537,0.1365835504279866,0.36,0.4253158285855837,0.56,0.5,0.2771241830065359,0.4204681506119022,0.546583850931677,1.0,1.0,0.9999846998938584,0.9359406616700684,0.9840048458642132,1.0
71,70,1.0,0.9782608695652174,0.5,0.8,0.9071689398500444,0.9020009435274624,0.6882430647291939,0.98,0.9147706753340556,0.96,0.625,0.3174603174603174,0.4481063385804329,0.5324779470729751,0.6,0.0,0.0705463285003895,0.3782161346333864,0.4184571018341848,0.19
72,71,0.0612244897959183,0.0,1.0,0.8,0.0434728074693536,0.0384978416569752,0.2699418911780246,0.5800000000000001,0.616643550624133,0.54,0.375,0.2812219227313566,0.4412373668321165,0.6521739130434782,1.0,1.0,0.9999203933356864,0.9210343075793712,0.9858770260392498,1.0
73,72,0.0612244897959183,0.0,1.0,0.8,0.0618207268318676,0.0567853299648719,0.5812655086848637,0.98,0.8434601113172544,0.96,0.625,0.3878787878787879,0.4360740340827762,0.5195402298850575,0.6,1.0,0.917770033997162,0.60833878723942,0.6819950926538318,0.6
74,73,0.0612244897959183,0.0,1.0,0.8,0.0438081758159799,0.038832072723432,0.3348045397225726,0.8200000000000001,0.7316887080366226,0.5800000000000001,0.5,0.3333333333333334,0.4684008903346995,0.6521739130434782,1.0,1.0,0.999351632936039,0.8966579871150444,0.9695882819307066,0.99
75,74,0.0612244897959183,0.0,1.0,0.8,0.0437460993634878,0.0387702066877894,0.161533196440794,0.6599999999999999,0.7185202205882353,0.54,0.375,0.3061119671289162,0.4249062877308575,0.6265328874024526,1.0,1.0,0.998645963281492,0.8940775860187207,0.9847576905498648,0.98
76,75,0.0612244897959183,0.0,1.0,0.8,0.0460602407207334,0.0410765324470087,0.1751781472684089,0.6799999999999999,0.7229756681292382,0.72,0.5,0.3202185792349727,0.4122255230261331,0.579047619047619,1.0,1.0,0.9891414899710284,0.8480542407136604,0.97920522801307,1.0
77,76,0.0612244897959183,0.0,1.0,0.8,0.066413610736269,0.0613636473756267,0.4071170084439083,0.86,0.810378086419753,0.86,0.625,0.3555555555555555,0.4530726763075969,0.6521739130434782,0.8,1.0,0.9413668952757192,0.7533843792831239,0.7345974251782403,0.83
78,77,0.979591836734694,0.6666666666666667,0.75,1.0,0.9418297485626008,0.9367662303163322,0.4914473684210525,0.96,0.8731747333880229,0.9,0.625,0.3504566210045661,0.4194205944260017,0.579047619047619,0.6,0.0,0.0618695264534784,0.4279096837343804,0.1991459894161112,0.38
79,78,0.0612244897959183,0.0,1.0,0.8,0.0462763450503455,0.0412919099098619,0.322083639031548,0.8,0.7889447236180904,0.48,0.625,0.3386243386243386,0.4680414490877976,0.6265328874024526,1.0,1.0,0.9756528022121866,0.7506010516257864,0.9011900057442084,0.98
80,79,0.0612244897959183,0.0,1.0,0.8,0.0434340600319446,0.0384592256968763,0.2126352734717753,0.3199999999999999,0.3601140955550275,0.6,0.5,0.2758057935536515,0.4316382283801574,0.5573192239858907,1.0,1.0,0.9999974823251336,0.9384475144490876,0.9792192906178494,1.0
81,80,0.0612244897959183,0.0,1.0,0.8,0.0434345275172327,0.0384596915958013,0.0922222222222222,0.4,0.4434604904632153,0.5800000000000001,0.5,0.2746598639455782,0.4150168579976793,0.5602240896358542,1.0,1.0,0.9999975274947456,0.9420105688723444,0.9745041467536834,1.0
82,81,0.0612244897959183,0.0,1.0,0.8,0.0434340825109759,0.0384592480996273,0.0844354018311291,0.4,0.4197292069632495,0.6599999999999999,0.5,0.2736754276178556,0.4190035531485529,0.5602240896358542,1.0,1.0,0.9999995830195356,0.9528739472033362,0.9791004501389414,1.0
83,82,0.0612244897959183,0.0,1.0,0.8,0.0434393954563318,0.0384645430161927,0.1058673469387755,0.3199999999999999,0.3568807339449541,0.56,0.5,0.2771241830065359,0.4362041226747108,0.601025641025641,1.0,1.0,0.9999796157256904,0.9283523964761896,0.986661310232842,1.0
84,83,0.979591836734694,0.6666666666666667,0.75,1.0,0.3094673242367516,0.3039069058621964,0.5763016157989229,0.98,0.847183250593568,0.9,0.625,0.32,0.4711499669789242,0.601025641025641,0.4,0.0,0.468399261352626,0.4261284054101846,0.2871589521067508,0.34
85,84,0.0612244897959183,0.0,1.0,0.8,0.0449875802391869,0.0400074874042569,0.1395623891188642,0.7,0.6217832076943074,0.62,0.75,0.3386243386243386,0.4713727906577956,0.5799404170804369,1.0,1.0,0.9877773568910766,0.6747413605928001,0.8634821334047942,0.91
86,85,0.0612244897959183,0.0,1.0,0.8,0.0801582406244036,0.0750659855627014,0.3456221198156682,0.86,0.7650735294117648,0.96,0.625,0.3386243386243386,0.4366607524897097,0.5191297824456114,1.0,1.0,0.8064943170122513,0.7197510999755177,0.9180311546625696,0.95
87,86,0.0612244897959183,0.0,1.0,0.8,0.1198817752113416,0.1146776915780574,0.2274087372830641,0.74,0.7735882146615223,0.8200000000000001,0.625,0.3789473684210525,0.4250661958177014,0.5382716049382715,1.0,1.0,0.8501548669097241,0.7197345106895676,0.8395940152516501,0.99
88,87,0.0612244897959183,0.0,1.0,0.8,0.0435581638783287,0.038582908493719,0.3537782139352303,0.88,0.5940197287299633,0.76,0.375,0.3202185792349727,0.39105892640126,0.457516339869281,0.6,1.0,0.9984220787479012,0.8307000289339772,0.8822088072542628,0.99
89,88,0.0612244897959183,0.0,1.0,0.8,0.0434749824775895,0.0385000092854887,0.1647217235188514,0.42,0.4591688462656201,0.56,0.5,0.2871794871794871,0.4378588239457804,0.579047619047619,1.0,1.0,0.999606465474284,0.8364190397659237,0.9713293366958656,1.0
90,89,0.0612244897959183,0.0,1.0,0.8,0.0434428527522918,0.0384679885804338,0.1661971830985916,0.5,0.5237329042638779,0.56,0.5,0.2812219227313566,0.4249026452191518,0.5602240896358542,1.0,1.0,0.9999695536675848,0.9028715324448467,0.96560433961501,1.0
91,90,0.0612244897959183,0.0,1.0,0.8,0.043459332644382,0.0384844125527416,0.2506102522375916,0.4599999999999999,0.4646904969485615,0.56,0.5,0.3202185792349727,0.4427738065475128,0.5602240896358542,1.0,1.0,0.9999158513776356,0.9014821336973772,0.9711532803921648,1.0
92,91,0.0612244897959183,0.0,1.0,0.8,0.0456492666942142,0.0406669421375341,0.2122762148337598,0.8200000000000001,0.7977232924693518,0.4399999999999999,0.625,0.3555555555555555,0.4475882450882451,0.579047619047619,0.8,1.0,0.9815103243474466,0.8052499429699583,0.9536447157616216,0.99
93,92,0.0612244897959183,0.0,1.0,0.8,0.0434406315302899,0.0384657748957387,0.1180654338549076,0.42,0.4488888888888891,0.54,0.5,0.2812219227313566,0.4263019533459785,0.5573192239858907,1.0,1.0,0.9999088469801288,0.9241162118017716,0.9786751158340048,1.0
94,93,0.0612244897959183,0.0,1.0,0.8,0.0434338508987104,0.0384590172733151,0.1027874564459929,0.6599999999999999,0.5488787666433077,0.8200000000000001,0.5,0.2832722832722832,0.3914630938546077,0.4695081967213113,1.0,1.0,0.9999998976933424,0.9057431356999563,0.9463400153385192,0.99
95,94,0.0612244897959183,0.0,1.0,0.8,0.0434676916409617,0.0384927431866041,0.160472234368168,0.36,0.3832316093800193,0.56,0.5,0.2953216374269006,0.4453888670021393,0.601025641025641,1.0,1.0,0.9995752382821962,0.8724644458428483,0.9632409824719458,1.0
96,95,0.0612244897959183,0.0,1.0,0.8,0.0434641444696007,0.0384892080509745,0.1607629427792917,0.42,0.4649681528662421,0.5800000000000001,0.5,0.2953216374269006,0.4363937325583462,0.579047619047619,1.0,1.0,0.9999244996726874,0.8613120910223863,0.9755870379937694,1.0
97,96,0.0612244897959183,0.0,1.0,0.8,0.043491431198616,0.0385164021982922,0.118741058655222,0.4,0.4649681528662421,0.52,0.5,0.2953216374269006,0.4495878009698059,0.6265328874024526,1.0,1.0,0.9998103406670028,0.8933312462546766,0.9840221713766418,1.0
98,97,0.0612244897959183,0.0,1.0,0.8,0.0436379311260295,0.0386624052026258,0.1615331964407942,0.62,0.7023809523809526,0.4599999999999999,0.375,0.3061119671289162,0.4351425262524527,0.6265328874024526,1.0,1.0,0.9978832544973694,0.8929734790769569,0.9748172146086316,0.98
99,98,0.0612244897959183,0.0,1.0,0.8,0.0434338567213523,0.0384590230761984,0.2531407035175879,0.6599999999999999,0.5491943127962087,0.74,0.5,0.3055555555555555,0.4154694562188908,0.5195402298850575,1.0,1.0,0.9999999284033576,0.8782576845617599,0.9559381514939028,0.99
100,99,0.0612244897959183,0.0,1.0,0.8,0.0434646932830991,0.0384897550023118,0.1225997045790254,0.38,0.4439937597503901,0.54,0.5,0.2871794871794871,0.4539625198182089,0.6521739130434782,1.0,1.0,0.9996182124894368,0.8844248265033229,0.974289324927854,1.0
101,100,0.1428571428571429,0.0217391304347825,0.5,0.6,0.0470666661414913,0.0420735316918013,0.2024597918637656,0.5,0.5454708842559308,0.7,0.375,0.2185061315496098,0.3647489802647518,0.5210084033613446,1.0,1.0,0.9999999990603508,0.9909728430111014,0.9776972897455548,0.99
102,101,0.1428571428571429,0.0217391304347825,0.5,0.6,0.0531122571810834,0.0480985189745674,0.0,0.92,0.8693801089918256,0.86,0.625,0.3473389355742298,0.4683624154212389,0.5779625779625781,0.8,1.0,0.9823333641677766,0.7663244291667245,0.959128983083642,0.97
103,102,0.1428571428571429,0.0217391304347825,0.5,0.6,0.047066703791713,0.0420735692122656,0.2599190283400809,0.54,0.6482586107369637,0.54,0.25,0.2811690714021457,0.3766387975433197,0.6082949308755761,1.0,1.0,0.999999322105056,0.9561771997253906,0.9844712635541664,1.0
104,103,0.1428571428571429,0.0217391304347825,0.5,0.6,0.0475167210169905,0.0425220367992714,0.2782558806655192,0.74,0.7348788198103267,0.7,0.5,0.3161904761904761,0.4409196059196059,0.6107226107226107,1.0,1.0,0.9990938117796642,0.7925057798541492,0.9726778616738712,0.99
