Row,d_1,d_2,sepallength,sepalwidth,petallength,petalwidth
40,-2.170547201884271,0.29272695496644635,5.1,3.4,1.5,0.2
41,-2.286527238840931,0.4679917156709381,5.0,3.5,1.3,0.3
42,-1.87170722353695,-2.327691606114911,4.5,2.3,1.3,0.3
43,-2.557834419537513,-0.4538163804897934,4.4,3.2,1.3,0.2
44,-1.964279290354738,0.49739164001838354,5.0,3.5,1.6,0.6
45,-2.133372832920029,1.1714321117742044,5.1,3.8,1.9,0.4
46,-2.0753575928373063,-0.6919173471364103,4.8,3.0,1.4,0.3
47,-2.381258216802374,1.1506325928736671,5.1,3.8,1.6,0.2
48,-2.398191687662639,-0.36239076472585735,4.6,3.2,1.4,0.2
49,-2.22678121309152,1.0254825528235452,5.3,3.7,1.5,0.2
50,-2.205954168648403,0.03223784527377954,5.0,3.3,1.4,0.2
51,1.1039936528045717,0.8631124458513248,7.0,3.2,4.7,1.4
52,0.7324814400086805,0.5986355733419976,6.4,3.2,4.5,1.5
53,1.2421095053189373,0.6148224496122872,6.9,3.1,4.9,1.5
54,0.39730728282332833,-1.7581689474435267,5.5,2.3,4.0,1.3
55,1.0725939482015452,-0.2117579026798956,6.5,2.8,4.6,1.5
56,0.38445814616900204,-0.5910624686227365,5.7,2.8,4.5,1.3
57,0.7487150759515525,0.7786986113887825,6.3,3.3,4.7,1.6
58,-0.4978633877981169,-1.8488687712754432,4.9,2.4,3.3,1.0
59,0.926222367533098,0.030330826783381306,6.6,2.9,4.6,1.3
60,0.004968025584320139,-1.0294011124030884,5.2,2.7,3.9,1.4
61,-0.12469746138036925,-2.6580626779617615,5.0,2.0,3.5,1.0
62,0.4387301177805469,-0.05888128502145438,5.9,3.0,4.2,1.5
63,0.5516339814225084,-1.7725815648562553,6.0,2.2,4.0,1.0
64,0.7171650662368514,-0.1854343145050438,6.1,2.9,4.7,1.4
65,-0.03725838296568799,-0.43279509871416916,5.6,2.9,3.6,1.3
66,0.8758905359406827,0.5099981510591478,6.7,3.1,4.4,1.4
67,0.34800640198020893,-0.19062164665727782,5.6,3.0,4.5,1.5
68,0.15339254456866724,-0.7907254562344854,5.8,2.7,4.1,1.0
69,1.2153032092161549,-1.6333556445154833,6.2,2.2,4.5,1.5
70,0.15694117564425134,-1.3031032701729115,5.6,2.5,3.9,1.1
71,0.738256104369896,0.40247038161853604,5.9,3.2,4.8,1.8
72,0.4723696823445686,-0.41660822244387963,6.1,2.8,4.0,1.3
73,1.227988214083443,-0.9409147925302724,6.3,2.5,4.9,1.5
74,0.629381045314902,-0.41681164254177205,6.1,2.8,4.7,1.2
75,0.7004727992084582,-0.06349392765170211,6.4,2.9,4.3,1.3
76,0.8735369874014334,0.25070861070205414,6.6,3.0,4.4,1.4
77,1.2542221905224498,-0.08262009981311234,6.8,2.8,4.8,1.4
78,1.3582398473872717,0.3288202662704023,6.7,3.0,5.0,1.7
79,0.662126137565938,-0.22434607094346423,6.0,2.9,4.5,1.5
80,-0.047281513319879634,-1.0572124126050206,5.7,2.6,3.5,1.0
81,0.12153420888011958,-1.5635923798655786,5.5,2.4,3.8,1.1
82,0.01411822605138857,-1.5733923546480604,5.5,2.4,3.7,1.0
83,0.23601083732659722,-0.7759237840118166,5.8,2.7,3.9,1.2
84,1.0566914280905773,-0.6369012837689372,6.0,2.7,5.1,1.6
85,0.22141708833021823,-0.28084769308564034,5.4,3.0,4.5,1.5
86,0.43178316074105316,0.8551369202180031,6.0,3.4,4.5,1.6
87,1.04941335521918,0.522197264512777,6.7,3.1,4.7,1.5
88,1.035878210322825,-1.3924664843877812,6.3,2.3,4.4,1.3
89,0.06706759987298055,-0.21262073489338879,5.6,3.0,4.1,1.3
90,0.2754250662518351,-1.3298159131577028,5.5,2.5,4.0,1.3
91,0.27233506626177284,-1.1194415241194042,5.5,2.6,4.4,1.2
92,0.6231705397262215,0.027542633302294582,6.1,3.0,4.6,1.4
93,0.330005363837227,-0.9889007318191549,5.8,2.6,4.0,1.2
94,-0.3736276226873749,-2.017932265204174,5.0,2.3,3.3,1.0
95,0.2829443429551034,-0.8539507169865502,5.6,2.7,4.2,1.3
96,0.0890531103190116,-0.17490854779054166,5.7,3.0,4.2,1.2
97,0.22435678320860628,-0.38048465948654553,5.7,2.9,4.2,1.3
98,0.573883485558467,-0.15371997408006496,6.2,2.9,4.3,1.3
99,-0.45701287250467393,-1.5394645102639815,5.1,2.5,3.0,1.1
100,0.2522444732694697,-0.5958607459650311,5.7,2.8,4.1,1.3
101,1.8476725943096644,0.8716966617734134,6.3,3.3,6.0,2.5
102,1.15318980825213,-0.7013261138565755,5.8,2.7,5.1,1.9
103,2.206349497126593,0.5544701049349231,7.1,3.0,5.9,2.1
104,1.4386854023261821,-0.05001052226888533,6.3,2.9,5.6,1.8
105,1.867890702555585,0.29119280176116946,6.5,3.0,5.8,2.2
106,2.754196708825752,0.7884322063548457,7.6,3.0,6.6,2.1
107,0.35837447484166923,-1.56009458397729,4.9,2.5,4.5,1.7
108,2.303005898150319,0.40951669522194417,7.3,2.9,6.3,1.8
109,2.001735299218917,-0.7238653593126593,6.7,2.5,5.8,1.8
110,2.267554599102268,1.921442991465356,7.2,3.6,6.1,2.5
111,1.3659094292022143,0.6939480398041614,6.5,3.2,5.1,2.0
112,1.5990645856518697,-0.4282488359003397,6.4,2.7,5.3,1.9
113,1.8842518537520743,0.41433275795008434,6.8,3.0,5.5,2.1
114,1.2530865143775929,-1.1673913352452463,5.7,2.5,5.0,2.0
115,1.4640615229856235,-0.4441475694791237,5.8,2.8,5.1,2.4
116,1.591809302638529,0.6770353716018521,6.4,3.2,5.3,2.3
117,1.4712801894655438,0.2531924719668159,6.5,3.0,5.5,1.8
118,2.437378482193507,2.5567573414948033,7.7,3.8,6.7,2.2
119,3.30914118267608,-0.0023613201020823726,7.7,2.6,6.9,2.3
120,1.2539809866905791,-1.7175838442659779,6.0,2.2,5.0,1.5
121,2.040496259663039,0.9073987650150536,6.9,3.2,5.7,2.3
122,0.9739151144704745,-0.5711743763662664,5.6,2.8,4.9,2.0
123,2.8980644358432768,0.397791359171869,7.7,2.8,6.7,2.0
124,1.3291936913234939,-0.4867605419037241,6.3,2.7,4.9,1.8
125,1.7042407085196056,1.0141484248357857,6.7,3.3,5.7,2.1
126,1.9577276617934347,1.0033345154297781,7.2,3.2,6.0,1.8
127,1.171904507987869,-0.3188966173105679,6.2,2.8,4.8,1.8
128,1.019781052816263,0.06554296309664819,6.1,3.0,4.9,1.8
129,1.7860088612484686,-0.19327279985689125,6.4,2.8,5.6,2.1
130,1.864777912707466,0.5553815315789903,7.2,3.0,5.8,1.6
131,2.435497391415143,0.24665446806897462,7.4,2.8,6.1,1.9
132,2.316082411961153,2.626183869022629,7.9,3.8,6.4,2.0
133,1.8603714258523167,-0.18467239440998312,6.4,2.8,5.6,2.2
134,1.1112717256759694,-0.29598610243039014,6.3,2.8,5.1,1.5
135,1.197469155118038,-0.8171677419136159,6.1,2.6,5.6,1.4
136,2.800949403734029,0.8447481937849753,7.7,3.0,6.1,2.3
137,1.5801552485205372,1.0724744961271229,6.3,3.4,5.6,2.4
138,1.3470444243548019,0.4222559658955467,6.4,3.1,5.5,1.8
139,0.9234329777663846,0.01923037054689329,6.0,3.0,4.8,1.8
140,1.8535519840664405,0.6724227289716043,6.9,3.1,5.4,2.1
141,2.016157200677759,0.6103970375551133,6.7,3.1,5.6,2.4
142,1.903116858599487,0.6860248318586996,6.9,3.1,5.1,2.3
143,1.15318980825213,-0.7013261138565755,5.8,2.7,5.1,1.9
144,2.0433084392878094,0.8646848804720194,6.8,3.2,5.9,2.3
145,2.001690966934998,1.0485500466234183,6.7,3.3,5.7,2.5
146,1.8705220714601256,0.38282183762299843,6.7,3.0,5.2,2.3
147,1.558491890723718,-0.9053136014070663,6.3,2.5,5.0,1.9
148,1.5208450639985907,0.2667945748539111,6.5,3.0,5.2,2.0
149,1.376391190641928,1.0163619287948862,6.2,3.4,5.4,2.3
150,0.9592985756160384,-0.022283944660566907,5.9,3.0,5.1,1.8
