instances,row_original,class,ih,n_wrong,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F2,feature_F3,feature_F4,algo_knn,algo_tree,algo_nb,algo_logreg,algo_svm_rbf,algo_rf
20,19,2,0.4561495643972508,3,0.5,0.96,0.7457627118644068,0.6666666666666666,0.631578947368421,0.759994966702431,0.759994966702431,0.5,0.0,0.9887640449438202,0.9906724038785668,0.0,0.99438202247191,0.6760563380281691,0.688689760182718,0.7027027027027026,0.6,1.0,0.1817169458642709,0.4010414858365571,0.2445108485823333,0.8358333333333334
21,20,2,0.4551905690728537,4,0.5,0.96,0.7457627118644068,0.6666666666666666,0.631578947368421,0.759994966702431,0.759994966702431,1.0,0.0,0.9887640449438202,0.9906724038785668,0.0017543859649122,0.99438202247191,0.6760563380281691,0.688689760182718,0.7027027027027026,0.4,1.0,0.2318604439240785,0.4221195518927578,0.3161623040317561,0.8987142857142857
22,21,1,0.4171082030440103,1,0.6,0.94,0.6050420168067228,1.0,0.4736842105263157,0.4262984910137646,0.4262984910137646,0.5,0.3983739837398374,0.9964912280701754,0.9805926031154556,0.0,0.9929824561403509,0.7428571428571428,0.7835995290667969,0.8135593220338984,0.6,1.0,0.5000461616825835,0.5292028685138666,0.2181017515394877,0.65
23,22,2,0.4621561232695669,3,0.4,0.92,0.3949579831932773,1.0,0.4210526315789473,0.7365847083649231,0.7365847083649231,0.25,0.0,0.9719101123595506,0.9845981068506338,0.0,0.9775280898876404,0.7027027027027026,0.7216355981061864,0.7384615384615385,0.6,0.6666666666666666,0.2155249297117068,0.4316498152128013,0.5097218487914237,0.8035
24,23,2,0.4621561232695669,3,0.4,0.92,0.3949579831932773,1.0,0.4210526315789473,0.7365847083649231,0.7365847083649231,0.0,0.0,0.9719101123595506,0.9845981068506338,0.0,0.9775280898876404,0.7027027027027026,0.7216355981061864,0.7384615384615385,0.6,0.6666666666666666,0.2155249297117068,0.4316498152128013,0.5097218487914237,0.8035
25,24,1,0.1936022135408528,0,0.5,1.0,0.1076115485564304,0.3333333333333333,0.4736842105263157,0.2873091322463472,0.2873091322463472,1.0,0.5053101988384505,0.9982456140350876,0.9339198105227542,0.0,0.9982456140350876,0.7384615384615385,0.7818130247333787,0.8666666666666667,1.0,1.0,0.7717035238846549,0.5867791048060973,0.6399040900641305,0.84
26,25,1,0.790042895384301,6,0.7,0.98,0.6050420168067228,1.0,0.5789473684210527,0.5132107696853515,0.5132107696853515,0.6666666666666666,0.5614733943149406,0.9982456140350876,0.9723913083863296,0.0112359550561797,0.9982456140350876,0.7428571428571428,0.8296051082092483,0.9056603773584908,0.2,0.0,0.1498540599475487,0.4953270517654534,0.3145615159811923,0.1
27,26,1,0.6699952821548318,3,0.9,0.98,0.6050420168067228,1.0,0.4736842105263157,0.2598708668904312,0.2598708668904312,1.0,0.0,0.9964912280701754,0.9915071624647498,0.0112359550561797,0.9982456140350876,0.7226890756302521,0.7288770053475935,0.7428571428571428,0.0,0.0,0.790206278547884,0.6080218544542828,0.5368001740688418,0.045
28,27,2,0.5100472739631845,2,0.5,0.92,0.3949579831932773,1.0,0.5789473684210527,0.5372661504752205,0.5372661504752205,1.0,0.6350656297576431,0.99438202247191,0.9772990212138586,0.0017543859649122,1.0,0.7428571428571428,0.8018691588785046,0.8571428571428572,0.6,0.0,0.6681955331202432,0.5143942790303668,0.7571265440702831,0.4
29,28,2,0.3177600312324516,3,0.3,0.96,0.3949579831932773,1.0,0.3157894736842105,0.7538751331316629,0.7538751331316629,0.0,0.260752519877293,0.9606741573033708,0.9755079182352758,0.0,0.9831460674157304,0.7107438016528926,0.7188639643185097,0.7428571428571428,1.0,1.0,0.2547274779292098,0.3987123346760802,0.5,0.94
30,29,1,0.5935029327388694,3,0.7,1.0,0.6050420168067228,1.0,0.4210526315789473,0.3086813208977665,0.3086813208977665,1.0,0.5873287671232877,0.9982456140350876,0.9777102304967642,0.0056179775280898,1.0,0.7428571428571428,0.7516273291925464,0.7679999999999999,0.4,0.0,0.7063712271930135,0.576974745891973,0.583136430481797,0.1725
31,30,1,0.6541630358294084,4,0.4,0.86,0.2816901408450704,1.0,0.4210526315789473,0.5107190410045214,0.5107190410045214,1.0,0.8299930609412629,0.9982456140350876,0.985869860225268,0.0056179775280898,1.0,0.6842105263157894,0.819297590503518,0.9230769230769232,0.4,0.0,0.2047143747122594,0.5016668305211462,0.4786405797901436,0.49
32,31,2,0.2419288905427986,2,0.4,0.9,0.3949579831932773,1.0,0.5263157894736842,0.6157672536828346,0.6157672536828346,0.0,0.0,0.9775280898876404,0.9829137945133656,0.0017543859649122,0.9775280898876404,0.7428571428571428,0.7764915036101476,0.8135593220338984,1.0,1.0,0.4097946681132055,0.4418522992266542,0.726779689403349,0.97
33,32,2,0.2646926084062263,2,0.4,0.9,0.3949579831932773,1.0,0.5263157894736842,0.6157672536828346,0.6157672536828346,0.0,0.0,0.9775280898876404,0.9829137945133656,0.0,0.9775280898876404,0.7428571428571428,0.7764915036101476,0.8135593220338984,0.8,1.0,0.4926250988510403,0.4615932461810584,0.7476260045305438,0.91
34,33,2,0.4149167205883236,3,0.2,0.98,0.3949579831932773,1.0,0.631578947368421,0.6564371476660635,0.6564371476660635,0.25,0.5,0.99438202247191,0.9914983212349708,0.0,0.99438202247191,0.7428571428571428,0.766245259165613,0.8,0.6,1.0,0.3578351950800673,0.4272981179320237,0.4569854110770152,0.6683809523809522
35,34,1,0.6790381443447284,5,0.5,0.86,0.2816901408450704,1.0,0.4210526315789473,0.5335291447596399,0.5335291447596399,0.5,0.3131446707220312,0.9964912280701754,0.9470061285429576,0.0,0.9982456140350876,0.7027027027027026,0.8282009282009282,0.8727272727272728,0.6,0.0,0.0181814420390624,0.4701885245257363,0.3774011673668303,0.46
36,35,2,0.597814384126705,4,0.5,0.98,0.3949579831932773,1.0,0.7368421052631579,0.689048506803345,0.689048506803345,0.5,0.6016260162601625,0.99438202247191,0.9889389999012412,0.0,1.0,0.7027027027027026,0.7529785496624111,0.8135593220338984,0.6,0.0,0.293669826491975,0.4364501851332625,0.4379936836145321,0.645
37,36,2,0.4470111461855411,4,0.5,1.0,0.3949579831932773,1.0,0.631578947368421,0.5389248086557279,0.5389248086557279,0.75,0.5,0.9887640449438202,0.9753956100051048,0.0017543859649122,1.0,0.7027027027027026,0.8199690769784227,0.9696969696969696,0.6,0.5,0.7028219274136852,0.4824325888944386,0.5885119399119626,0.4441666666666666
38,37,2,0.5132895643228208,4,0.2,0.92,0.3949579831932773,1.0,0.4210526315789473,0.74029915251111,0.74029915251111,0.6666666666666666,0.5647058823529412,0.99438202247191,0.9922179823413012,0.0035087719298245,0.9887640449438202,0.7226890756302521,0.7316742081447963,0.7428571428571428,0.6,1.0,0.1591005581163537,0.4044282292109371,0.3867338267357844,0.37
39,38,2,0.3764064272025186,4,0.6,0.96,0.7183098591549295,1.0,0.3157894736842105,0.4885489228692798,0.4885489228692798,0.6666666666666666,0.775120133902057,0.99438202247191,0.9873817321412882,0.0070175438596491,1.0,0.7027027027027026,0.8261611125688796,0.9320388349514562,0.4,1.0,0.906632384130036,0.4966361683522781,0.5882928843025749,0.35
40,39,2,0.7023438259094844,6,0.5,1.0,0.3949579831932773,1.0,0.8947368421052632,0.7202279389909729,0.7202279389909729,1.0,0.6211340206185567,0.99438202247191,0.9878583993356608,0.0017543859649122,1.0,0.7350427350427351,0.7467840403324275,0.7741935483870969,0.4,0.0,0.238482359142615,0.3842127184359621,0.5232419669645163,0.24
41,40,2,0.5776605491315892,5,0.5,0.96,0.7183098591549295,1.0,0.3157894736842105,0.5099227297854877,0.5099227297854877,0.5,0.6168521462639109,0.99438202247191,0.9741110753034696,0.0017543859649122,1.0,0.7027027027027026,0.8276237276237277,0.9696969696969696,0.4,0.0,0.7426458842868353,0.4580574875902957,0.5,0.4333333333333333
42,41,1,0.4857099129146374,3,0.6,0.94,0.6050420168067228,1.0,0.4736842105263157,0.2493609847575681,0.2493609847575681,1.0,0.0,0.9964912280701754,1.0,0.0056179775280898,0.9982456140350876,0.7027027027027026,0.7156629611175066,0.7384615384615385,0.4,0.3333333333333333,0.8041671694076876,0.5967223138300211,0.6200891345125622,0.3314285714285714
43,42,2,0.5492001169804679,4,0.4,0.94,0.3949579831932773,1.0,0.4736842105263157,0.7506390152424318,0.7506390152424318,0.0,0.0,0.99438202247191,1.0,0.0,1.0,0.7027027027027026,0.7156629611175066,0.7384615384615385,0.6,0.5,0.1820106332965894,0.4213206247322316,0.4341347067550379,0.5673333333333334
44,43,1,0.450799883019532,2,0.6,0.94,0.6050420168067228,1.0,0.4736842105263157,0.2493609847575681,0.2493609847575681,1.0,0.0,0.9964912280701754,1.0,0.0393258426966292,0.9982456140350876,0.7027027027027026,0.7156629611175066,0.7384615384615385,0.4,0.5,0.8179893667034107,0.5786793752677684,0.565865293244962,0.4326666666666666
45,44,2,0.2943374457834218,2,0.5,0.92,0.7183098591549295,1.0,0.5263157894736842,0.4582061465525963,0.4582061465525963,0.5,0.2033607190908309,0.9831460674157304,0.8970824812038417,0.0017543859649122,0.9887640449438202,0.7428571428571428,0.8669374104156712,0.9450549450549448,0.4,1.0,0.9980448729806984,0.5359304523187712,0.5,0.8
46,45,2,0.5965446465365274,4,0.3,0.98,0.3949579831932773,1.0,0.7894736842105263,0.6570343276718265,0.6570343276718265,0.0,0.999999999999808,0.99438202247191,1.0,0.0017543859649122,1.0,0.7428571428571428,0.7696350896740877,0.8135593220338984,0.6,0.0,0.4185738103584201,0.4309191280346956,0.7112391823877192,0.26
47,46,1,0.6863096554079051,4,0.8,1.0,0.6050420168067228,1.0,0.7368421052631579,0.3439440068749142,0.3439440068749142,1.0,0.5893719806763286,0.9982456140350876,0.9773526836933883,0.0168539325842696,1.0,0.7027027027027026,0.7743884673088212,0.8727272727272726,0.2,0.0,0.6579735418427974,0.5740813221603076,0.3800872035494645,0.07
48,47,1,0.208149952705367,0,0.3,0.96,0.2542372881355932,0.6666666666666666,0.2631578947368421,0.2437537735496582,0.2437537735496582,0.5,0.0,0.9912280701754386,0.9924329693812816,0.0,0.9964912280701754,0.6666666666666666,0.6809250195076967,0.7027027027027026,0.6,1.0,0.8136862870032454,0.6087339433433616,0.8007082472266793,0.9279718061945113
49,48,1,0.1512200300215802,0,0.3,0.96,0.2542372881355932,0.6666666666666666,0.2631578947368421,0.2437537735496582,0.2437537735496582,0.0,0.0,0.9912280701754386,0.9924329693812816,0.0,0.9964912280701754,0.6666666666666666,0.6809250195076967,0.7027027027027026,1.0,1.0,0.7695685591079375,0.5975896372501142,0.7681251588660027,0.9573964646464648
50,49,1,0.1693721301342686,0,0.3,0.96,0.2542372881355932,0.6666666666666666,0.2631578947368421,0.2437537735496582,0.2437537735496582,0.0,0.0,0.9912280701754386,0.9924329693812816,0.0,0.9964912280701754,0.6666666666666666,0.6809250195076967,0.7027027027027026,0.8,1.0,0.8144328534144244,0.6178611853334322,0.7918427052384702,0.9596304752080612
51,50,1,0.7265011889987767,5,0.5,0.98,0.6050420168067228,1.0,0.631578947368421,0.4228670635314949,0.4228670635314949,0.6666666666666666,0.9999999999999444,0.9982456140350876,1.0,0.0224719101123595,0.9982456140350876,0.7027027027027026,0.8101710885197124,0.9600000000000002,0.2,0.0,0.4447928589488119,0.5547519947950196,0.4014480122635088,0.04
52,51,2,0.6025231886743445,4,0.6,0.98,0.3949579831932773,1.0,0.631578947368421,0.577132936468505,0.577132936468505,0.0,0.999999999999922,0.99438202247191,1.0,0.0052631578947368,0.9887640449438202,0.7027027027027026,0.8101710885197124,0.9600000000000002,0.6,0.0,0.5029361215593245,0.4373631100515132,0.5645616363430949,0.28
53,52,1,0.6305701798778638,4,0.7,0.98,0.6050420168067228,1.0,0.8947368421052632,0.2625217699203754,0.2625217699203754,0.0,0.9999999999998328,0.9982456140350876,1.0,0.0056179775280898,1.0,0.7027027027027026,0.730568600587576,0.7741935483870969,0.4,0.0,0.718359363397781,0.581011813080772,0.3738744109209304,0.1433333333333333
54,53,1,0.6617504785358146,4,0.5,0.98,0.2816901408450704,1.0,0.3684210526315789,0.4590369141111003,0.4590369141111003,1.0,0.6144000000000001,0.9982456140350876,0.9719144298789898,0.0056179775280898,0.9982456140350876,0.7027027027027026,0.8224427937378538,0.979591836734694,0.4,0.0,0.3654626876922641,0.5558097317892567,0.4882247093035912,0.22
55,54,2,0.5631359830492009,4,0.3,1.0,0.3949579831932773,1.0,0.4210526315789473,0.7540061932265802,0.7540061932265802,0.0,0.3379310344827585,0.9662921348314608,0.9850967953075044,0.0,0.9719101123595506,0.7107438016528926,0.7229043683589138,0.7428571428571428,1.0,0.0,0.1385601615341528,0.3795475407330682,0.3130763994375735,0.79
56,55,2,0.2812824261471185,1,0.7,0.92,0.7183098591549295,1.0,0.5263157894736842,0.4586844796616458,0.4586844796616458,0.0,0.2552732760789105,0.9831460674157304,0.9253166609610638,0.0,0.99438202247191,0.7428571428571428,0.856775529286048,0.9247311827956988,0.6,1.0,0.9852617755654997,0.5214467231639796,0.3655969443878091,0.84
57,56,2,0.4749119305693563,4,0.5,0.98,0.3949579831932773,1.0,0.8421052631578947,0.6925156171118494,0.6925156171118494,0.5,0.6620689655172414,0.99438202247191,0.991637608162211,0.0052631578947368,1.0,0.7428571428571428,0.7596273291925464,0.8,0.4,1.0,0.3592979453951606,0.4110913552761419,0.6801391159125603,0.3
58,57,2,0.7044967549441896,6,0.5,0.98,0.3949579831932773,1.0,0.7368421052631579,0.7178482679855943,0.7178482679855943,0.5,0.7966804979253113,0.99438202247191,0.9958069484853672,0.0035087719298245,1.0,0.7027027027027026,0.7465868737055178,0.8135593220338984,0.4,0.0,0.2461673242202997,0.4073441676691961,0.3651746451120329,0.3543333333333334
59,58,1,0.3587320651382185,1,0.3,0.86,0.2816901408450704,1.0,0.4210526315789473,0.5320988426853771,0.5320988426853771,0.0,0.3790123456790124,0.9947368421052633,0.9145965799823282,0.0,0.9947368421052633,0.7027027027027026,0.7989954879718658,0.8686868686868686,0.6,1.0,0.1066707698098012,0.586217946508441,0.7747188928524468,0.78
60,59,1,0.5447619012783869,3,0.8,1.0,0.6050420168067228,1.0,0.4736842105263157,0.2621093265680907,0.2621093265680907,0.6666666666666666,0.5,0.9982456140350876,0.9899388601561953,0.0056179775280898,1.0,0.7222222222222222,0.7339000933706815,0.7679999999999999,0.4,0.0,0.7829889405672612,0.6107339557294387,0.6880390293663128,0.2496666666666666
61,60,1,0.6763904088435638,4,0.7,1.0,0.6050420168067228,1.0,0.6842105263157895,0.2818380785481692,0.2818380785481692,1.0,0.7823529411764706,0.9982456140350876,0.9954067892367364,0.0168539325842696,1.0,0.7027027027027026,0.7483252483252483,0.8205128205128205,0.2,0.0,0.6870206402940195,0.5872529883362156,0.3438839183083819,0.1235
62,61,2,0.3780721364729406,3,0.1,0.8200000000000001,0.3949579831932773,1.0,0.631578947368421,0.6916880095945522,0.6916880095945522,0.0,0.3788659793814433,0.9775280898876404,0.97838758855708,0.0,0.9831460674157304,0.7027027027027026,0.7658049353701527,0.8648648648648649,0.8,1.0,0.2489585300728005,0.4045236891019589,0.4280849619875967,0.85
63,62,1,0.4322338749681154,0,0.3,1.0,0.6050420168067228,1.0,0.4736842105263157,0.3783080880476723,0.3783080880476723,0.0,0.3024691358024691,0.9947368421052633,0.962795981503288,0.0056179775280898,0.9947368421052633,0.7027027027027026,0.8104857434754342,0.9896907216494848,0.6,0.5,0.5724082370879291,0.6061462320570412,0.6212089477130035,0.5068333333333335
64,63,2,0.3967210062621839,3,0.3,0.96,0.3949579831932773,1.0,0.4736842105263157,0.7541674944860703,0.7541674944860703,0.4,0.0,0.9775280898876404,0.9900560194482612,0.0,0.9719101123595506,0.7107438016528926,0.7257015711561166,0.7428571428571428,0.8,1.0,0.1903705226663286,0.3559332625542379,0.3467035105396637,0.9266666666666667
65,64,2,0.5084526554458102,4,0.6,0.96,0.7457627118644068,0.6666666666666666,0.631578947368421,0.7597751671311685,0.7597751671311685,0.5,0.7109144542772861,0.99438202247191,0.9926783713111692,0.0017543859649122,1.0,0.6880000000000001,0.6948581574275006,0.7027027027027026,0.4,1.0,0.1724021116281526,0.3933999712466762,0.2422518257201515,0.7412301587301587
66,65,1,0.3104490776926475,1,0.4,0.86,0.2816901408450704,1.0,0.4210526315789473,0.5327098999293914,0.5327098999293914,0.5,0.610337972166998,0.9982456140350876,0.964891501433,0.0056179775280898,0.9964912280701754,0.7222222222222222,0.8148989898989898,0.8686868686868686,1.0,1.0,0.0590363291039644,0.5833887654975758,0.7048804392425753,0.79
67,66,2,0.6324006048072925,5,0.7,0.96,0.7457627118644068,0.6666666666666666,0.631578947368421,0.7581293157736716,0.7581293157736716,0.7777777777777778,0.0,0.99438202247191,1.0,0.0035087719298245,0.99438202247191,0.6991869918699187,0.7070873534288169,0.7272727272727273,0.4,0.5,0.1333012295814505,0.383432530152413,0.2607435638033332,0.5281190476190475
68,67,1,0.2239516064191226,0,0.3,0.98,0.2542372881355932,0.6666666666666666,0.4210526315789473,0.2380842467513519,0.2380842467513519,0.0,0.5,0.9964912280701754,0.990205346248506,0.0,1.0,0.6666666666666666,0.6742634283390633,0.6771653543307087,0.8,1.0,0.8227537459399178,0.5784949958717014,0.7999662228482487,0.6550753968253968
69,68,1,0.6181207324583355,3,0.7,1.0,0.6050420168067228,1.0,0.8947368421052632,0.2790831268360978,0.2790831268360978,0.6666666666666666,0.5663265306122449,0.9982456140350876,0.9895849222682614,0.0112359550561797,1.0,0.7350427350427351,0.7515827606736698,0.7933884297520662,0.2,0.0,0.8088315528215558,0.6130045448717376,0.5994395075566938,0.07
70,69,1,0.2096608555372007,0,0.2,0.96,0.2816901408450704,1.0,0.4210526315789473,0.3331004011891711,0.3331004011891711,0.0,0.3115427848812702,0.987719298245614,0.942855226826758,0.0,0.9947368421052633,0.6842105263157894,0.7990062854426458,0.9896907216494844,1.0,1.0,0.6198849409010923,0.6171957241694365,0.5849542017062671,0.92
71,70,1,0.2370993304853258,0,0.4,0.9,0.2542372881355932,0.6666666666666666,0.631578947368421,0.2417122993334581,0.2417122993334581,0.6666666666666666,0.0,0.9947368421052633,1.0,0.0,1.0,0.6991869918699187,0.7098845562260196,0.7384615384615385,0.8,0.8,0.8152285640302509,0.6244617830213977,0.7241184319411591,0.8135952380952378
72,71,1,0.2973097330830875,0,0.4,0.9,0.2542372881355932,0.6666666666666666,0.631578947368421,0.2417122993334581,0.2417122993334581,1.0,0.0,0.9929824561403509,1.0,0.0,1.0,0.6991869918699187,0.7098845562260196,0.7384615384615385,0.6,0.75,0.8281963750903732,0.6149908699680706,0.7020019754906499,0.720952380952381
73,72,2,0.6150751700944588,5,0.6,0.92,0.7183098591549295,1.0,0.5263157894736842,0.4622942982722008,0.4622942982722008,0.3333333333333333,0.5777504211481146,0.99438202247191,0.9773783613977722,0.0035087719298245,0.9831460674157304,0.7428571428571428,0.8341414599146557,0.8865979381443299,0.2,0.0,0.9723076596885448,0.436615837721809,0.3606254820228932,0.34
74,73,1,0.3139111975338252,0,0.3,0.88,0.2542372881355932,0.6666666666666666,0.631578947368421,0.2439458558098621,0.2439458558098621,0.2307692307692307,0.0,0.9982456140350876,1.0,0.0168539325842696,1.0,0.6760563380281691,0.6832724373480723,0.7027027027027026,0.6,0.6,0.8603336468920324,0.6299138236071973,0.8019083601708352,0.6243769841269842
75,74,2,0.672911779531489,6,0.8,0.88,0.7457627118644068,0.6666666666666666,0.631578947368421,0.7560541441901378,0.7560541441901378,1.0,0.0,0.9831460674157304,1.0,0.0052631578947368,1.0,0.6760563380281691,0.6832724373480723,0.7027027027027026,0.4,0.4,0.1855857030426977,0.3733595928553474,0.2023102173892119,0.4012738095238095
76,75,2,0.6380678262623367,5,0.8,0.88,0.7457627118644068,0.6666666666666666,0.631578947368421,0.7560541441901378,0.7560541441901378,1.0,0.0,0.9887640449438202,1.0,0.0070175438596491,0.9887640449438202,0.6760563380281691,0.6832724373480723,0.7027027027027026,0.4,0.5,0.1814003595419162,0.3891303783788266,0.1994511933941263,0.501611111111111
77,76,2,0.8290648181886879,6,0.7,0.9,0.7457627118644068,0.6666666666666666,0.631578947368421,0.7582877006665418,0.7582877006665418,0.0,0.999999999999808,0.99438202247191,1.0,0.0087719298245614,1.0,0.6991869918699187,0.7098845562260196,0.7384615384615385,0.2,0.0,0.1851142270407836,0.3802376738375971,0.2302591899894915,0.03
